======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] FLIGHT | pos=[-0.000,+0.000,-0.480]m | f_tot=[+2.83,+0.02,+7.77]N(w) | f_grf=[+0.00,+0.00,-0.00]N(w) | f_leg=[-0.00,-0.00,+0.00]N(w) | f_prop=[+2.83,+0.02,+7.77]N(w) | tau=[+1.50,+2.31,+3.35]Nm | pwm=[1000,1300,1217,1000,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.33,+2.23]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.33,+2.23]N(w) | tau=[-0.34,-0.15,+0.15]Nm | pwm=[1000,1249,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.33,+2.23]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.33,+2.23]N(w) | tau=[-0.34,-0.15,+0.15]Nm | pwm=[1000,1249,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.32,+2.23]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.32,+2.23]N(w) | tau=[-0.34,-0.15,+0.15]Nm | pwm=[1000,1249,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.32,+2.23]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.32,+2.23]N(w) | tau=[-0.34,-0.15,+0.16]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.31,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.31,+2.22]N(w) | tau=[-0.34,-0.14,+0.16]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.30,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.30,+2.22]N(w) | tau=[-0.34,-0.14,+0.16]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.30,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.30,+2.22]N(w) | tau=[-0.34,-0.14,+0.16]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.229]m | f_tot=[+7.95,+1.29,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.29,+2.22]N(w) | tau=[-0.34,-0.14,+0.16]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.95,+1.28,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.28,+2.22]N(w) | tau=[-0.34,-0.14,+0.17]Nm | pwm=[1000,1248,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.95,+1.28,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.28,+2.22]N(w) | tau=[-0.34,-0.14,+0.17]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.95,+1.27,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.27,+2.22]N(w) | tau=[-0.34,-0.14,+0.17]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.95,+1.27,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.95,+1.27,+2.22]N(w) | tau=[-0.34,-0.14,+0.17]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.26,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.26,+2.22]N(w) | tau=[-0.34,-0.14,+0.17]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.26,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.26,+2.22]N(w) | tau=[-0.34,-0.14,+0.18]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.25,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.25,+2.22]N(w) | tau=[-0.34,-0.14,+0.18]Nm | pwm=[1000,1247,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.24,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.24,+2.22]N(w) | tau=[-0.34,-0.14,+0.18]Nm | pwm=[1000,1246,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.24,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.24,+2.22]N(w) | tau=[-0.34,-0.14,+0.18]Nm | pwm=[1000,1246,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.230]m | f_tot=[+7.94,+1.23,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.23,+2.22]N(w) | tau=[-0.34,-0.14,+0.18]Nm | pwm=[1000,1246,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.22,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.22,+2.22]N(w) | tau=[-0.34,-0.14,+0.19]Nm | pwm=[1000,1246,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.21,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.21,+2.22]N(w) | tau=[-0.34,-0.14,+0.19]Nm | pwm=[1000,1246,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.21,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.21,+2.22]N(w) | tau=[-0.34,-0.14,+0.19]Nm | pwm=[1000,1245,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.20,+2.22]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.20,+2.22]N(w) | tau=[-0.34,-0.14,+0.19]Nm | pwm=[1000,1245,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.19,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.19,+2.21]N(w) | tau=[-0.34,-0.14,+0.19]Nm | pwm=[1000,1245,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.231]m | f_tot=[+7.94,+1.19,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.19,+2.21]N(w) | tau=[-0.34,-0.13,+0.19]Nm | pwm=[1000,1245,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.057,-0.383,-0.232]m | f_tot=[+7.94,+1.18,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.18,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1245,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.232]m | f_tot=[+7.94,+1.17,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.17,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1244,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.232]m | f_tot=[+7.94,+1.17,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.17,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1244,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.232]m | f_tot=[+7.94,+1.16,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.16,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1244,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.232]m | f_tot=[+7.94,+1.15,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.15,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1244,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.233]m | f_tot=[+7.94,+1.14,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.14,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1244,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.233]m | f_tot=[+7.94,+1.13,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.13,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1243,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.233]m | f_tot=[+7.94,+1.13,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.13,+2.21]N(w) | tau=[-0.34,-0.13,+0.20]Nm | pwm=[1000,1243,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.233]m | f_tot=[+7.94,+1.12,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.12,+2.21]N(w) | tau=[-0.34,-0.13,+0.21]Nm | pwm=[1000,1243,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.234]m | f_tot=[+7.94,+1.11,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.11,+2.21]N(w) | tau=[-0.34,-0.13,+0.21]Nm | pwm=[1000,1243,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.234]m | f_tot=[+7.94,+1.11,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.11,+2.21]N(w) | tau=[-0.34,-0.13,+0.21]Nm | pwm=[1000,1243,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.056,-0.383,-0.234]m | f_tot=[+7.94,+1.10,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.10,+2.21]N(w) | tau=[-0.34,-0.13,+0.21]Nm | pwm=[1000,1242,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.383,-0.234]m | f_tot=[+7.94,+1.09,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.09,+2.21]N(w) | tau=[-0.34,-0.13,+0.21]Nm | pwm=[1000,1242,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.383,-0.234]m | f_tot=[+7.94,+1.09,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.09,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1242,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.383,-0.235]m | f_tot=[+7.94,+1.08,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.08,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1242,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.383,-0.235]m | f_tot=[+7.94,+1.07,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.07,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1241,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.382,-0.235]m | f_tot=[+7.94,+1.06,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.06,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1241,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.382,-0.236]m | f_tot=[+7.94,+1.05,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.05,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1241,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.382,-0.236]m | f_tot=[+7.94,+1.05,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.05,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1241,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.382,-0.236]m | f_tot=[+7.94,+1.04,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.04,+2.21]N(w) | tau=[-0.35,-0.13,+0.21]Nm | pwm=[1000,1241,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.055,-0.382,-0.236]m | f_tot=[+7.94,+1.03,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.03,+2.21]N(w) | tau=[-0.35,-0.12,+0.22]Nm | pwm=[1000,1240,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.237]m | f_tot=[+7.94,+1.02,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.94,+1.02,+2.20]N(w) | tau=[-0.35,-0.12,+0.22]Nm | pwm=[1000,1240,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.237]m | f_tot=[+7.93,+1.01,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+1.01,+2.20]N(w) | tau=[-0.35,-0.12,+0.22]Nm | pwm=[1000,1240,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.237]m | f_tot=[+7.93,+1.01,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+1.01,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1240,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.237]m | f_tot=[+7.93,+1.00,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+1.00,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1239,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.238]m | f_tot=[+7.93,+0.99,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.99,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1239,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.238]m | f_tot=[+7.93,+0.98,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.98,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1239,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.238]m | f_tot=[+7.93,+0.97,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.97,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1239,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.054,-0.382,-0.238]m | f_tot=[+7.93,+0.97,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.97,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1238,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.239]m | f_tot=[+7.93,+0.96,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.96,+2.20]N(w) | tau=[-0.36,-0.12,+0.22]Nm | pwm=[1000,1238,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.239]m | f_tot=[+7.93,+0.95,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.95,+2.20]N(w) | tau=[-0.37,-0.12,+0.22]Nm | pwm=[1000,1238,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.239]m | f_tot=[+7.93,+0.94,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.94,+2.20]N(w) | tau=[-0.37,-0.12,+0.22]Nm | pwm=[1000,1238,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.240]m | f_tot=[+7.93,+0.93,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.93,+2.20]N(w) | tau=[-0.37,-0.12,+0.22]Nm | pwm=[1000,1237,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.240]m | f_tot=[+7.93,+0.93,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.93,+2.20]N(w) | tau=[-0.37,-0.12,+0.22]Nm | pwm=[1000,1237,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.240]m | f_tot=[+7.93,+0.92,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.92,+2.20]N(w) | tau=[-0.37,-0.12,+0.22]Nm | pwm=[1000,1237,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.240]m | f_tot=[+7.93,+0.91,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.91,+2.20]N(w) | tau=[-0.37,-0.11,+0.22]Nm | pwm=[1000,1237,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.241]m | f_tot=[+7.93,+0.90,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.90,+2.20]N(w) | tau=[-0.38,-0.11,+0.22]Nm | pwm=[1000,1236,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.053,-0.382,-0.241]m | f_tot=[+7.93,+0.90,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.90,+2.20]N(w) | tau=[-0.38,-0.11,+0.22]Nm | pwm=[1000,1236,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.241]m | f_tot=[+7.93,+0.89,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.89,+2.20]N(w) | tau=[-0.38,-0.11,+0.22]Nm | pwm=[1000,1236,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.241]m | f_tot=[+7.93,+0.88,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.88,+2.20]N(w) | tau=[-0.38,-0.11,+0.22]Nm | pwm=[1000,1236,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.242]m | f_tot=[+7.93,+0.87,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.87,+2.20]N(w) | tau=[-0.38,-0.11,+0.22]Nm | pwm=[1000,1235,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.242]m | f_tot=[+7.93,+0.87,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.87,+2.20]N(w) | tau=[-0.39,-0.11,+0.22]Nm | pwm=[1000,1235,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.242]m | f_tot=[+7.93,+0.86,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.86,+2.20]N(w) | tau=[-0.39,-0.11,+0.22]Nm | pwm=[1000,1235,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.242]m | f_tot=[+7.93,+0.85,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.85,+2.20]N(w) | tau=[-0.39,-0.11,+0.22]Nm | pwm=[1000,1235,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.243]m | f_tot=[+7.93,+0.84,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.93,+0.84,+2.20]N(w) | tau=[-0.39,-0.11,+0.22]Nm | pwm=[1000,1234,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.243]m | f_tot=[+7.92,+0.84,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.92,+0.84,+2.20]N(w) | tau=[-0.39,-0.11,+0.22]Nm | pwm=[1000,1234,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.243]m | f_tot=[+7.92,+0.83,+2.20]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.92,+0.83,+2.20]N(w) | tau=[-0.40,-0.11,+0.22]Nm | pwm=[1000,1234,1000,1300,1000,1000]us
[modee] FLIGHT | pos=[-0.052,-0.381,-0.243]m | f_tot=[+7.92,+0.82,+2.21]N(w) | f_grf=[-0.00,-0.00,+0.00]N(w) | f_leg=[+0.00,+0.00,-0.00]N(w) | f_prop=[+7.92,+0.82,+2.21]N(w) | tau=[-0.40,-0.11,+0.22]Nm | pwm=[1000,1234,1000,1300,1000,1000]us
